num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
73,mcs_vc4_4block,block,block,block,block,toys,Noun,Noun,Noun,Noun,Noun,Noun,block
74,mcs_vc4_5book,book,book,book,book,toys,Noun,Noun,Noun,Noun,Noun,Noun,book
75,mcs_vc4_6bubbles,bubbles,bubbles,bubbles,bubbles,toys,Noun,Noun,Noun,Noun,Noun,Noun,bubbles
76,mcs_vc4_7chalk,chalk,chalk,chalk,chalk,toys,Noun,Noun,Noun,Noun,Noun,Noun,chalk
77,mcs_vc4_8crayon,crayon,crayon,crayon,crayon,toys,Noun,Noun,Noun,Noun,Noun,Noun,crayon
78,mcs_vc4_9doll,doll,doll,doll,doll,toys,Noun,Noun,Noun,Noun,Noun,Noun,doll
79,mcs_vc4_10game,game,game,game,game,toys,Noun,Noun,Noun,Noun,Noun,Noun,game
80,mcs_vc4_11glue,glue,glue,glue,glue,toys,Noun,Noun,Noun,Noun,Noun,Noun,glue
81,mcs_vc4_12pen,pen,pen,pen,pen,toys,Noun,Noun,Noun,Noun,Noun,Noun,pen
82,mcs_vc4_13pencil,pencil,pencil,pencil,pencil,toys,Noun,Noun,Noun,Noun,Noun,Noun,pencil
83,mcs_vc4_14playdough,playdough,playdough,playdough,playdough,toys,Noun,Noun,Noun,Noun,Noun,Noun,play dough
84,mcs_vc4_15present,present,present,present,present,toys,Noun,Noun,Noun,Noun,Noun,Noun,present
85,mcs_vc4_16puzzle,puzzle,puzzle,puzzle,puzzle,toys,Noun,Noun,Noun,Noun,Noun,Noun,puzzle
86,mcs_vc4_17story,story,story,story,story,toys,Noun,Noun,Noun,Noun,Noun,Noun,story
87,mcs_vc4_18toy,toy,toy,toy,toy_obj,toys,Noun,Noun,Noun,Noun,Noun,Noun,toy (object)
88,mcs_vc5_1apple,apple,apple,apple,apple,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,apple
89,mcs_vc5_2applesauce,applesauce,applesauce,applesauce,applesauce,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,applesauce
90,mcs_vc5_3banana,banana,banana,banana,banana,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,banana
