num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
67,mcs_vc3_train,train,train,train,train,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,train
68,mcs_vc3_tricycle,tricycle,tricycle,tricycle,tricycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,tricycle
69,mcs_vc3_truck,truck,truck,truck,truck,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,truck
70,mcs_vc4_ball,ball,ball,ball,ball,toys,Noun,Noun,Noun,Noun,Noun,Noun,ball
71,mcs_vc4_balloon,balloon,balloon,balloon,balloon,toys,Noun,Noun,Noun,Noun,Noun,Noun,balloon
72,mcs_vc4_bat,bat,bat,bat,bat,toys,Noun,Noun,Noun,Noun,Noun,Noun,bat
73,mcs_vc4_block,block,block,block,block,toys,Noun,Noun,Noun,Noun,Noun,Noun,block
74,mcs_vc4_book,book,book,book,book,toys,Noun,Noun,Noun,Noun,Noun,Noun,book
75,mcs_vc4_bubbles,bubbles,bubbles,bubbles,bubbles,toys,Noun,Noun,Noun,Noun,Noun,Noun,bubbles
76,mcs_vc4_chalk,chalk,chalk,chalk,chalk,toys,Noun,Noun,Noun,Noun,Noun,Noun,chalk
77,mcs_vc4_crayon,crayon,crayon,crayon,crayon,toys,Noun,Noun,Noun,Noun,Noun,Noun,crayon
78,mcs_vc4_doll,doll,doll,doll,doll,toys,Noun,Noun,Noun,Noun,Noun,Noun,doll
79,mcs_vc4_game,game,game,game,game,toys,Noun,Noun,Noun,Noun,Noun,Noun,game
80,mcs_vc4_glue,glue,glue,glue,glue,toys,Noun,Noun,Noun,Noun,Noun,Noun,glue
81,mcs_vc4_pen,pen,pen,pen,pen,toys,Noun,Noun,Noun,Noun,Noun,Noun,pen
82,mcs_vc4_pencil,pencil,pencil,pencil,pencil,toys,Noun,Noun,Noun,Noun,Noun,Noun,pencil
83,mcs_vc4_playdough,playdough,playdough,playdough,playdough,toys,Noun,Noun,Noun,Noun,Noun,Noun,play dough
84,mcs_vc4_present,present,present,present,present,toys,Noun,Noun,Noun,Noun,Noun,Noun,present
85,mcs_vc4_puzzle,puzzle,puzzle,puzzle,puzzle,toys,Noun,Noun,Noun,Noun,Noun,Noun,puzzle
86,mcs_vc4_story,story,story,story,story,toys,Noun,Noun,Noun,Noun,Noun,Noun,story
87,mcs_vc4_toy,toy,toy,toy,toy_obj,toys,Noun,Noun,Noun,Noun,Noun,Noun,toy (object)
88,mcs_vc5_apple,apple,apple,apple,apple,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,apple
89,mcs_vc5_applesauce,applesauce,applesauce,applesauce,applesauce,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,applesauce
90,mcs_vc5_banana,banana,banana,banana,banana,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,banana
91,mcs_vc5_beans,beans,beans,beans,beans,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,beans
92,mcs_vc5_bread,bread,bread,bread,bread,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,bread
93,mcs_vc5_butter,butter,butter,butter,butter,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,butter
94,mcs_vc5_cake,cake,cake,cake,cake,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cake
95,mcs_vc5_candy,candy,candy,candy,candy,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,candy
96,mcs_vc5_carrots,carrots,carrots,carrots,carrots,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,carrots
97,mcs_vc5_cereal,cereal,cereal,cereal,cereal,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cereal
98,mcs_vc5_cheerios,cheerios,cheerios,cheerios,cheerios,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cheerios
99,mcs_vc5_cheese,cheese,cheese,cheese,cheese,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cheese
100,mcs_vc5_chicken,chicken,chicken,chicken,chicken_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,chicken (food)
101,mcs_vc5_chocolate,chocolate,chocolate,chocolate,chocolate,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,chocolate
102,mcs_vc5_coffee,coffee,coffee,coffee,coffee,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,coffee
103,mcs_vc5_coke,coke,coke,coke,coke,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,coke
104,mcs_vc5_cookie,cookie,cookie,cookie,cookie,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cookie
105,mcs_vc5_corn,corn,corn,corn,corn,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,corn
106,mcs_vc5_cracker,cracker,cracker,cracker,cracker,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cracker
107,mcs_vc5_donut,donut,donut,donut,donut,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,donut
108,mcs_vc5_drink,drink,drink,drink,drink_bev,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,drink (beverage)
109,mcs_vc5_egg,egg,egg,egg,egg,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,egg
110,mcs_vc5_fish,fish,fish,fish,fish_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,fish (food)
111,mcs_vc5_food,food,food,food,food,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,food
112,mcs_vc5_frenchfries,frenchfries,frenchfries,frenchfries,frenchfries,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,french fries
113,mcs_vc5_grapes,grapes,grapes,grapes,grapes,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,grapes
114,mcs_vc5_greenbeans,greenbeans,greenbeans,greenbeans,greenbeans,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,green beans
115,mcs_vc5_gum,gum,gum,gum,gum,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,gum
116,mcs_vc5_hamburger,hamburger,hamburger,hamburger,hamburger,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,hamburger
117,mcs_vc5_ice,ice,ice,ice,ice,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,ice
118,mcs_vc5_icecream,icecream,icecream,icecream,icecream,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,ice cream
119,mcs_vc5_jello,jello,jello,jello,jello,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,jello
120,mcs_vc5_jelly,jelly,jelly,jelly,jelly,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,jelly
121,mcs_vc5_juice,juice,juice,juice,juice,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,juice
122,mcs_vc5_lollipop,lollipop,lollipop,lollipop,lollipop,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,lollipop
123,mcs_vc5_meat,meat,meat,meat,meat,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,meat
124,mcs_vc5_melon,melon,melon,melon,melon,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,melon
125,mcs_vc5_milk,milk,milk,milk,milk,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,milk
126,mcs_vc5_muffin,muffin,muffin,muffin,muffin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,muffin
127,mcs_vc5_noodles,noodles,noodles,noodles,noodles,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,noodles
128,mcs_vc5_nuts,nuts,nuts,nuts,nuts,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,nuts
129,mcs_vc5_orange,orange,orange,orange,orange_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,orange (food)
130,mcs_vc5_pancake,pancake,pancake,pancake,pancake,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pancake
131,mcs_vc5_peanutbutter,peanutbutter,peanutbutter,peanutbutter,peanutbutter,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,peanut butter
132,mcs_vc5_peas,peas,peas,peas,peas,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,peas
133,mcs_vc5_pickle,pickle,pickle,pickle,pickle,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pickle
134,mcs_vc5_pizza,pizza,pizza,pizza,pizza,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pizza
135,mcs_vc5_popcorn,popcorn,popcorn,popcorn,popcorn,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,popcorn
136,mcs_vc5_popsicle,popsicle,popsicle,popsicle,popsicle,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,popsicle
137,mcs_vc5_potato,potato,potato,potato,potato,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,potato
138,mcs_vc5_potatochip,potatochip,potatochip,potatochip,potatochip,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,potato chip
139,mcs_vc5_pretzel,pretzel,pretzel,pretzel,pretzel,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pretzel
140,mcs_vc5_pudding,pudding,pudding,pudding,pudding,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pudding
141,mcs_vc5_pumpkin,pumpkin,pumpkin,pumpkin,pumpkin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pumpkin
142,mcs_vc5_raisin,raisin,raisin,raisin,raisin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,raisin
143,mcs_vc5_salt,salt,salt,salt,salt,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,salt
144,mcs_vc5_sandwich,sandwich,sandwich,sandwich,sandwich,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,sandwich
145,mcs_vc5_sauce,sauce,sauce,sauce,sauce,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,sauce
146,mcs_vc5_sodapop,soda/pop,soda/pop,soda/pop,soda/pop,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,soda/pop
147,mcs_vc5_soup,soup,soup,soup,soup,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,soup
148,mcs_vc5_spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,spaghetti
149,mcs_vc5_strawberry,strawberry,strawberry,strawberry,strawberry,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,strawberry
150,mcs_vc5_toast,toast,toast,toast,toast,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,toast
151,mcs_vc5_tuna,tuna,tuna,tuna,tuna,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,tuna
152,mcs_vc5_vanilla,vanilla,vanilla,vanilla,vanilla,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,vanilla
153,mcs_vc5_vitamins,vitamins,vitamins,vitamins,vitamins,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,vitamins
154,mcs_vc5_water,water,water,water,water_bev,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,water (beverage)
155,mcs_vc5_yogurt,yogurt,yogurt,yogurt,yogurt,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,yogurt
156,mcs_vc6_beads,beads,beads,beads,beads,clothing,Noun,Noun,Noun,Noun,Noun,Noun,beads
157,mcs_vc6_belt,belt,belt,belt,belt,clothing,Noun,Noun,Noun,Noun,Noun,Noun,belt
158,mcs_vc6_bib,bib,bib,bib,bib,clothing,Noun,Noun,Noun,Noun,Noun,Noun,bib
159,mcs_vc6_boots,boots,boots,boots,boots,clothing,Noun,Noun,Noun,Noun,Noun,Noun,boots
160,mcs_vc6_button,button,button,button,button,clothing,Noun,Noun,Noun,Noun,Noun,Noun,button
161,mcs_vc6_coat,coat,coat,coat,coat,clothing,Noun,Noun,Noun,Noun,Noun,Noun,coat
162,mcs_vc6_diaper,diaper,diaper,diaper,diaper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,diaper
163,mcs_vc6_dress,dress,dress,dress,dress_obj,clothing,Noun,Noun,Noun,Noun,Noun,Noun,dress (object)
164,mcs_vc6_gloves,gloves,gloves,gloves,gloves,clothing,Noun,Noun,Noun,Noun,Noun,Noun,gloves
165,mcs_vc6_hat,hat,hat,hat,hat,clothing,Noun,Noun,Noun,Noun,Noun,Noun,hat
166,mcs_vc6_jacket,jacket,jacket,jacket,jacket,clothing,Noun,Noun,Noun,Noun,Noun,Noun,jacket
167,mcs_vc6_jeans,jeans,jeans,jeans,jeans,clothing,Noun,Noun,Noun,Noun,Noun,Noun,jeans
168,mcs_vc6_mittens,mittens,mittens,mittens,mittens,clothing,Noun,Noun,Noun,Noun,Noun,Noun,mittens
169,mcs_vc6_necklace,necklace,necklace,necklace,necklace,clothing,Noun,Noun,Noun,Noun,Noun,Noun,necklace
170,mcs_vc6_pajamas,pajamas,pajamas,pajamas,pajamas,clothing,Noun,Noun,Noun,Noun,Noun,Noun,pajamas
171,mcs_vc6_pants,pants,pants,pants,pants,clothing,Noun,Noun,Noun,Noun,Noun,Noun,pants
172,mcs_vc6_scarf,scarf,scarf,scarf,scarf,clothing,Noun,Noun,Noun,Noun,Noun,Noun,scarf
