num_item_id,word,replacement_word,replacement_word2,word_WordBank1,word_WordBank2,category,WG_class,class,classEH,RescorlaSafyer_Class,classEHse,classVerbs,CDI_Metadata_compatible
110,mcg_vc5_fish,fish,fish,fish (food),fish_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,fish (food)
111,mcg_vc5_food,food,food,food,food,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,food
118,mcg_vc5_icec,icecream,icecream,ice cream,icecream,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,ice cream
121,mcg_vc5_juice,juice,juice,juice,juice,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,juice
123,mcg_vc5_meat,meat,meat,meat,meat,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,meat
125,mcg_vc5_milk,milk,milk,milk,milk,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,milk
127,mcg_vc5_noodl,noodles,noodles,noodles,noodles,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,noodles
129,mcg_vc5_orng,orange,orange,orange (food),orange_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,orange (food)
131,mcg_vc5_peas,peas,peas,peas,peas,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,peas
134,mcg_vc5_pzza,pizza,pizza,pizza,pizza,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pizza
142,mcg_vc5_rais,raisin,raisin,raisin,raisin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,raisin
148,mcg_vc5_spag,spaghetti,spaghetti,spaghetti,spaghetti,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,spaghetti
150,mcg_vc5_toast,toast,toast,toast,toast,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,toast
154,mcg_vc5_wtr,water,water,water (beverage),water_bev,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,water (beverage)
156,mcg_vc6_bead,beads,beads,beads,beads,clothing,Noun,Noun,Noun,Noun,Noun,Noun,beads
158,mcg_vc6_bib,bib,bib,bib,bib,clothing,Noun,Noun,Noun,Noun,Noun,Noun,bib
159,mcg_vc6_boot,boots,boots,boots,boots,clothing,Noun,Noun,Noun,Noun,Noun,Noun,boots
160,mcg_vc6_bttn,button,button,button,button,clothing,Noun,Noun,Noun,Noun,Noun,Noun,button
161,mcg_vc6_coat,coat,coat,coat,coat,clothing,Noun,Noun,Noun,Noun,Noun,Noun,coat
162,mcg_vc6_diap,diaper,diaper,diaper,diaper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,diaper
163,mcg_vc6_dress,dress,dress,dress (object),dress_obj,clothing,Noun,Noun,Noun,Noun,Noun,Noun,dress (object)
164,mcg_vc6_hat,hat,hat,hat,hat,clothing,Noun,Noun,Noun,Noun,Noun,Noun,hat
165,mcg_vc6_jackt,jacket,jacket,jacket,jacket,clothing,Noun,Noun,Noun,Noun,Noun,Noun,jacket
166,mcg_vc6_jeans,jeans,jeans,jeans,jeans,clothing,Noun,Noun,Noun,Noun,Noun,Noun,jeans
167,mcg_vc6_neck,necklace,necklace,necklace,necklace,clothing,Noun,Noun,Noun,Noun,Noun,Noun,necklace
170,mcg_vc6_pjs,pajamas,pajamas,pajamas,pajamas,clothing,Noun,Noun,Noun,Noun,Noun,Noun,pajamas
171,mcg_vc6_pants,pants,pants,pants,pants,clothing,Noun,Noun,Noun,Noun,Noun,Noun,pants
173,mcg_vc6_shirt,shirt,shirt,shirt,shirt,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shirt
174,mcg_vc6_shoe,shoe,shoe,shoe,shoe,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shoe
175,mcg_vc6_short,shorts,shorts,shorts,shorts,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shorts
179,mcg_vc6_sock,sock,sock,sock,sock,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sock
180,mcg_vc6_swtr,sweater,sweater,sweater,sweater,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sweater
183,mcg_vc6_zippr,zipper,zipper,zipper,zipper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,zipper
185,mcg_vc7_arm,arm,arm,arm,arm,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,arm
186,mcg_vc7_blybt,bellybutton,bellybutton,belly button,bellybutton,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,belly button
188,mcg_vc7_cheek,cheek,cheek,cheek,cheek,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,cheek
190,mcg_vc7_ear,ear,ear,ear,ear,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,ear
191,mcg_vc7_eye,eye,eye,eye,eye,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,eye
192,mcg_vc7_face,face,face,face,face,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,face
194,mcg_vc7_foot,feet,feet,foot,foot,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,foot
193,mcg_vc7_fing,finger,finger,finger,finger,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,finger
195,mcg_vc7_hair,hair,hair,hair,hair,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,hair
196,mcg_vc7_hand,hand,hand,hand,hand,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,hand
197,mcg_vc7_head,head,head,head,head,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,head
